ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,
65,44f4cc87b43e3add1d1b9b75f1e4e3b5b0db549349c0f554ff28eaa0312c96ab,SHA256,0/77,ce38a3985a61577c54bda8cb024695b2,3b351bb4001428546dfcfbbd1dcd1aa3ead86fc4,44f4cc87b43e3add1d1b9b75f1e4e3b5b0db549349c0f554ff28eaa0312c96ab,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",27/07/2012 0:24,N/A,26/07/2012 17:24,17/01/2013 11:33,16/10/2024 8:04,16/10/2024 8:04,44f4cc87b43e3add1d1b9b75f1e4e3b5b0db549349c0f554ff28eaa0312c96ab.exe,vstest.executionengine.appcontainer.x86.exe,53efd60c-33c2-11e7-ac0d-00059a3c7a00,Benign
66,44f94f1d88cbc98e96ef947b48b17fee609682dccfa4184294c23cd1b1afe75e,SHA256,0/75,e6a620efe0a13e826c068f3e87a98c23,7c2c35ecd17e2d8c2efef9bac3c70209fd1a1263,44f94f1d88cbc98e96ef947b48b17fee609682dccfa4184294c23cd1b1afe75e,Office Open XML Spreadsheet,Microsoft Excel 2007+,29/01/2018 12:47,N/A,N/A,12/02/2020 22:28,28/09/2023 23:43,28/09/2023 23:43,44f94f1d88cbc98e96ef947b48b17fee609682dccfa4184294c23cd1b1afe75e.ole,Income-Tax-Withholding-Calculator.xlsx,IncomeTaxWithholdingAssistantForEmployers2020.xlsx,Benign
67,44fbc00485c6ccd92bad4364ed91dc775d4b97698f58795b92abc228d9827bf2,SHA256,40/75,66a10063a27a849c0b6903d191ff2769,b067dd816184854d41ea336bb67dcb46c895c2e5,44fbc00485c6ccd92bad4364ed91dc775d4b97698f58795b92abc228d9827bf2,ELF,"ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, stripped",N/A,N/A,16/06/2024 14:02,16/06/2024 13:00,17/06/2024 16:44,05/02/2025 6:57,44fbc00485c6ccd92bad4364ed91dc775d4b97698f58795b92abc228d9827bf2.elf,bot.sh4,66a10063a27a849c0b6903d191ff2769.virus,Malicious
68,450f2fc1b583a7b636c5b715a36df630ab4cf237,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
69,451426fe1a4aec8fc2185483b8904778,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
70,454204668d561343ddee101f66846072,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
71,457208d67a63689b65a6d209b95ec1e3714601fc1d96fd5b1402d5034a448931,SHA256,Jan-76,b007c30602bdf95fe71ac3ea218d2cc7,7cd12feab49ef53cb8694949fff2f2abb956b866,457208d67a63689b65a6d209b95ec1e3714601fc1d96fd5b1402d5034a448931,Win32 EXE,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows",01/01/1970 19:33,N/A,N/A,08/02/2015 15:48,28/11/2024 6:52,28/11/2024 6:52,date.exe,457208d67a63689b65a6d209b95ec1e3714601fc1d96fd5b1402d5034a448931.exe,b94.exe,Malicious
72,45744105fc251ba770c956308dfb6505d4ca2d8605e89fafa7db544600940048,SHA256,Sep-77,dfdce7b4aeae29bb70e63028d123d029,e49b4402a4a89d12b81a7440ec2c9cdd69abc6b5,45744105fc251ba770c956308dfb6505d4ca2d8605e89fafa7db544600940048,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",25/04/2013 10:55,N/A,N/A,17/06/2024 6:29,22/06/2024 19:01,23/09/2024 16:27,45744105fc251ba770c956308dfb6505d4ca2d8605e89fafa7db544600940048.exe,45744105fc251ba770c956308dfb6505d4ca2d8605e89fafa7db544600940048.exe.vir,SecuriteInfo.com.Trojan.Siggen21.17986.27037.15326,Malicious
73,4574f7eb6db35720b5b1d1eb13bb4324296db8d6,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
74,457d67298420555dba60bd3c6502b6b0,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
75,458bd31442fcac3f42d3cf0acb8bcd13b4115c355280f44172a6ef8a3d877ff8,SHA256,50/76,951546ae0252559278079b5b31686793,ad6c2721876752247c41b1edfb7ae34a6d7c0406,458bd31442fcac3f42d3cf0acb8bcd13b4115c355280f44172a6ef8a3d877ff8,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",18/11/2023 21:52,N/A,16/06/2024 3:01,16/06/2024 2:51,20/06/2024 9:14,19/02/2025 6:01,458bd31442fcac3f42d3cf0acb8bcd13b4115c355280f44172a6ef8a3d877ff8.exe,458bd31442fcac3f42d3cf0acb8bcd13b4115c355280f44172a6ef8a3d877ff8.exe.vir,951546ae0252559278079b5b31686793.virus,Malicious
76,45af5bb5cf12e58e3c087e51cd37c468,MD5,35/76,45af5bb5cf12e58e3c087e51cd37c468,1ac73567dda492ce1447fd95d9b229cf3bc81078,dbe8b9d981660b11fd58e0acd0fc254ca74782db2f79ea664d076005b38f6013,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",18/11/2023 21:52,N/A,16/06/2024 8:01,16/06/2024 6:55,22/06/2024 18:49,30/01/2025 19:04,dbe8b9d981660b11fd58e0acd0fc254ca74782db2f79ea664d076005b38f6013.exe,dbe8b9d981660b11fd58e0acd0fc254ca74782db2f79ea664d076005b38f6013.exe.vir,45af5bb5cf12e58e3c087e51cd37c468.virus,Malicious
77,45de04fff6b76075a2bf0c2354e4d8951b390cbe72d0e5c53b162228d6489b9a,SHA256,0/77,f1c97579c8d2459c3dfc405f20d9b851,18967e0d2858c7d29b1208a3da0817c2caa5dc6d,45de04fff6b76075a2bf0c2354e4d8951b390cbe72d0e5c53b162228d6489b9a,Win32 EXE,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows",01/01/1970 0:00,N/A,N/A,07/03/2017 18:12,28/10/2024 1:52,28/10/2024 1:52,45de04fff6b76075a2bf0c2354e4d8951b390cbe72d0e5c53b162228d6489b9a.exe,*.exe,hostname.exe,Benign
78,4625f69b1be6f7d738a4df335c6ca306,MD5,51/78,4625f69b1be6f7d738a4df335c6ca306,52125696d6846193d9e8275568ad0965d040c06a,929804f60f8f3a0b0d7862cd91eb6be0a2ba694c4a28e3f9fa2d65ff171469a6,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive",24/07/2021 22:19,N/A,15/06/2024 15:33,15/06/2024 10:17,03/03/2025 19:24,19/07/2024 3:35,Setup.exe,929804f60f8f3a0b0d7862cd91eb6be0a2ba694c4a28e3f9fa2d65ff171469a6.exe,setup.exe,Malicious
79,463821640265e75e16ca21d4c3977d8bddb774c3018227e27d6b63352e599b6e,SHA256,0/76,f4a485f493aaa67ba5db7ad193443725,95df223d1c691b4a00759d16c9f1e787059a051f,463821640265e75e16ca21d4c3977d8bddb774c3018227e27d6b63352e599b6e,Win32 EXE,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows",26/07/2012 20:27,N/A,26/07/2012 13:27,15/01/2013 16:20,27/11/2024 5:21,27/11/2024 5:21,mpgo.exe,463821640265e75e16ca21d4c3977d8bddb774c3018227e27d6b63352e599b6e.exe,WOEq.xls,Benign
80,464d6f177b27f77e27c20eba1dc0ee6e85ec4eb1715043c6af6deffb63982fd4,SHA256,0/77,d3ce04a4d157c69bc713b418bbaaa480,6d24611a02b10c83846f906ba16783ac3215ea65,464d6f177b27f77e27c20eba1dc0ee6e85ec4eb1715043c6af6deffb63982fd4,Win32 EXE,"PE32+ executable (GUI) x86-64, for MS Windows",05/05/1970 11:14,N/A,11/02/2017 12:48,11/05/2017 21:25,16/10/2024 8:17,16/10/2024 8:17,file-jpeg.exe,464d6f177b27f77e27c20eba1dc0ee6e85ec4eb1715043c6af6deffb63982fd4.exe,file-jpeg,Benign
81,467823968d057c72e14cb0dab019c232231b7ecc34f55225b259627e3b05ea1c,SHA256,0/76,a4d12a1d46ab74aba463c4e3a3c8b7cf,506e63b2c2a6f0e0c4ba4965981d1b50b7e8f193,467823968d057c72e14cb0dab019c232231b7ecc34f55225b259627e3b05ea1c,Win32 EXE,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows",N/A,N/A,N/A,10/03/2017 10:56,26/11/2024 14:34,26/11/2024 14:34,467823968d057c72e14cb0dab019c232231b7ecc34f55225b259627e3b05ea1c.exe,ffplay.exe,b156.exe,Benign
82,46c629e4918166b75671f1fa6a6f467bd1948abbf0e9e4ea30f5d0e5fdfd84f4,SHA256,0/75,8859bb442653b4e966d01234edab23f5,4914281aa89fe30003050ed60cb4aca6f410a4a6,46c629e4918166b75671f1fa6a6f467bd1948abbf0e9e4ea30f5d0e5fdfd84f4,Win32 EXE,"PE32 executable (console) Intel 80386, for MS Windows",20/12/2016 2:44,N/A,19/12/2016 19:44,24/12/2016 11:33,27/11/2024 6:05,27/11/2024 6:05,46c629e4918166b75671f1fa6a6f467bd1948abbf0e9e4ea30f5d0e5fdfd84f4.exe,AnimationCompiler.exe,a6.exe,Benign
83,47318d66705d2083048da82214bab39c,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
84,47359e123546cc049a0fb3cd069ad63773dde27e,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
85,475d2752177ec4fec829644c94cd48d6,MD5,57/75,475d2752177ec4fec829644c94cd48d6,6445055b86104275a58e7229f6fc773a3415b84b,1fd283f3e75a2d8500b6bcf9169f58cc16ad4e8e5e353dda30273126e37a7830,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",16/06/2024 16:26,N/A,N/A,17/06/2024 2:06,01/07/2024 7:43,08/02/2025 15:01,1fd283f3e75a2d8500b6bcf9169f58cc16ad4e8e5e353dda30273126e37a7830.exe,W2147794847.exe,null,Malicious
86,47942d6a856d409db58fb0d559772bb5,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
87,4797a6e79ed00a662a9b1cec12c3d451,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
88,47ae084ef854a1c6664595f4369b15d386c95219f850584f2ae9e65b41c6441f,SHA256,0/76,6871a25036da53750599cac4a1b77c83,7686998db814e466d49a5fcba1e39192abcb0a25,47ae084ef854a1c6664595f4369b15d386c95219f850584f2ae9e65b41c6441f,Win32 EXE,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows",05/01/1970 16:52,N/A,11/06/2020 13:11,08/02/2015 15:48,27/11/2024 6:00,27/11/2024 6:00,gzip.exe,47ae084ef854a1c6664595f4369b15d386c95219f850584f2ae9e65b41c6441f.exe,47AE084EF854A1C6664595F4369B15D386C95219F850584F2AE9E65B41C6441F.exe,Benign
89,47e1e0e21c715b6b6569b8c361307ba84387ecea,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
90,47fbec1b8deb37560896fd5f27e04baf,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
91,4833f6e7b2beb3821ccd544a936f3d6db6403ee58c05038f15f2d1544f2acd3c,SHA256,60/76,35dea5908c411c55232760a766992b4d,803e87e294445707b2480e0f6eeb21990be7522e,4833f6e7b2beb3821ccd544a936f3d6db6403ee58c05038f15f2d1544f2acd3c,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",12/03/2023 16:16,N/A,N/A,16/06/2024 11:53,20/06/2024 9:04,03/03/2025 5:41,Client.exe,4833f6e7b2beb3821ccd544a936f3d6db6403ee58c05038f15f2d1544f2acd3c.exe,Client-built.exe,Malicious
92,4853177a2c48020cb1f8a489e2aa54b9865c911b,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
93,485ce2cdf49ca65143e8279faf7315e3,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
94,487581e26f44dc342b13f83a424a7d0b,MD5,60/76,487581e26f44dc342b13f83a424a7d0b,f63e3fdfa598322bd2ededb12a2c272182824990,553e372ef331a9891f8cada32625bd6491cbd427f1a2a6ad62cd1472ec3f23a0,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",14/06/2024 5:07,N/A,14/06/2024 9:21,14/06/2024 6:19,16/06/2024 11:17,03/02/2025 4:01,shipping documents.exe,ZBtk.exe,553e372ef331a9891f8cada32625bd6491cbd427f1a2a6ad62cd1472ec3f23a0.exe,Malicious
95,487f9f8d0da4d928eb39ecc142c7121219c79407,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
96,48f27dc5e6a47abe1815f5416193dc9a216714e0,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
97,48f477c0e4bbd9090ccc351302523fc8db1d9a94ecea1a7d90059e01757dc8a9,SHA256,0/76,0fdefe47881168a331e29490ba6c17f3,6c399a6ddba0047df4231b09b45ebea1a20010e3,48f477c0e4bbd9090ccc351302523fc8db1d9a94ecea1a7d90059e01757dc8a9,Win32 EXE,"PE32+ executable (GUI) x86-64, for MS Windows",15/03/2014 3:45,N/A,14/03/2014 20:45,04/01/2015 12:18,28/11/2024 6:21,28/11/2024 6:21,Barcode,Barcode.exe,48f477c0e4bbd9090ccc351302523fc8db1d9a94ecea1a7d90059e01757dc8a9.exe,Benign
98,490d00c18b3bbfde087655b955c3ac3a32d36ec5fb8ce2d485ecd34ccce4d1db,SHA256,35/76,aa46425b529620edf837ea951cc28dcc,f0cf7442560e1c76ce61365a8b2f1f9dbb90dcd7,490d00c18b3bbfde087655b955c3ac3a32d36ec5fb8ce2d485ecd34ccce4d1db,RAR,"RAR archive data, v5",N/A,N/A,N/A,17/06/2024 9:33,20/06/2024 9:18,27/12/2024 12:14,490d00c18b3bbfde087655b955c3ac3a32d36ec5fb8ce2d485ecd34ccce4d1db.rar,??????????????????????????????.rar,null,Malicious
99,492221cf511865f5f26b2a3acab04d136b798fa93356123469e7a6d4acb6d6e9,SHA256,0/77,f381981a3b0aec612cbb1d376376f7e4,56d5792eb25de6ef759fd1e2d0171b442d67f878,492221cf511865f5f26b2a3acab04d136b798fa93356123469e7a6d4acb6d6e9,Win32 EXE,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows",02/01/1970 5:46,N/A,11/06/2020 13:11,08/02/2015 15:48,16/10/2024 8:17,16/10/2024 8:17,expr.exe,492221cf511865f5f26b2a3acab04d136b798fa93356123469e7a6d4acb6d6e9.exe,b152.exe,Benign
100,4931e5d3811a460f47678631f4bdc82c9c6e9176ae3940403e690bc82e3714a9,SHA256,57/76,1ffdb66e829387a9d10032af888e9639,06a5b4e196a197e5fce24fd07d374b5f0841ce2a,4931e5d3811a460f47678631f4bdc82c9c6e9176ae3940403e690bc82e3714a9,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",01/12/2020 18:00,N/A,N/A,12/06/2024 17:52,18/06/2024 16:52,24/01/2025 6:30,4931e5d3811a460f47678631f4bdc82c9c6e9176ae3940403e690bc82e3714a9.exe,4931e5d3811a460f47678631f4bdc82c9c6e9176ae3940403e690bc82e3714a9.bin,DCRatBuild.exe,Malicious
101,493d9b3ed80283ac403c3598a7d4ba2d,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
102,49acc96c0ae4b9f56566ccb8e3897108beadaa25,SHA1,Jan-75,fc99fb1634948567aa5a8c2e0b622d0e,49acc96c0ae4b9f56566ccb8e3897108beadaa25,b416bd007ae66fb1843de071f6bd7c08282c02b3c13a96cf252e59877a973773,ZIP,"Zip archive data, at least v1.0 to extract, compression method=store",N/A,N/A,N/A,25/03/2015 16:55,30/10/2024 3:57,30/10/2024 3:57,DBotv3.1_March2007.zip,myfile,VirusShare_fc99fb1634948567aa5a8c2e0b622d0e,Malicious
103,49c151b9be89bccbf30c70ab3bf0cbd8,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
104,49c8ca6dcd8990e9d840ec142959abe8,MD5,58/76,49c8ca6dcd8990e9d840ec142959abe8,7ff8e014f01f82bab6e239bde43bd60592af90e7,dc288149929d93cc33f1edfe82d4b92cb05c5b681e992dc18936df829b2b5e0e,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",04/05/2022 16:03,N/A,N/A,11/06/2024 0:08,17/06/2024 19:12,29/01/2025 1:46,libGLESv2.dll,dc288149929d93cc33f1edfe82d4b92cb05c5b681e992dc18936df829b2b5e0e.exe,csrss.exe,Malicious
105,49e53571cb248ebd636f2aba507a7f4c,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
106,4a36f7ca6692cc55714e1c22ddae1a9ab19227db467c064922b9bdb78859ab02,SHA256,Jan-75,83628040674a2623a0904ec9b1f421d6,35d53cfa48d2bc16324e94c5739a451868b0214c,4a36f7ca6692cc55714e1c22ddae1a9ab19227db467c064922b9bdb78859ab02,Win32 EXE,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows",18/02/1970 13:05,N/A,13/11/2016 13:44,23/11/2016 16:34,28/11/2024 6:09,28/11/2024 6:09,4a36f7ca6692cc55714e1c22ddae1a9ab19227db467c064922b9bdb78859ab02.exe,less.exe,aa,Malicious
107,4a3a25ec628702692e852048f22f3254bf976b8e71b0a71a7d789de8313ac349,SHA256,57/76,81d18e9a342730023cf9c8f4fb752487,0b8cdaf89419175b462144404feb513657d1c728,4a3a25ec628702692e852048f22f3254bf976b8e71b0a71a7d789de8313ac349,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",17/06/2024 3:12,N/A,N/A,17/06/2024 4:11,20/06/2024 9:18,15/02/2025 14:03,xhSY.exe,4a3a25ec628702692e852048f22f3254bf976b8e71b0a71a7d789de8313ac349.exe,XClient.exe,Malicious
108,4aa0be3f56bbca2831b865397e4e6ae5,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
109,4ac565360c199789ecfe2405a2093a8060e6c2a3478409be627aa7cba6f48951,SHA256,0/76,90ba956a536b4f98cca7b6d712b42c3a,6e8188805bdcbeec1cb8585289b4976bfc2e7fa2,4ac565360c199789ecfe2405a2093a8060e6c2a3478409be627aa7cba6f48951,Win32 EXE,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows",29/07/2008 10:53,N/A,11/06/2020 13:11,27/09/2011 18:14,04/02/2025 10:17,10/03/2025 10:17,TlbExp.exe,4ac565360c199789ecfe2405a2093a8060e6c2a3478409be627aa7cba6f48951.exe,62076895.exe,Benign
110,4add78141d7a40f568b18603b21f9888b90344a446ab50f8bd76bdaafbebd984,SHA256,44/76,d2ac4bb98731470990b576515d15834e,98a40d9c04efcf4d79f3cbdbe24076445734a415,4add78141d7a40f568b18603b21f9888b90344a446ab50f8bd76bdaafbebd984,ELF,"ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped",N/A,N/A,16/06/2024 14:02,16/06/2024 12:35,17/06/2024 16:51,31/01/2025 3:02,4add78141d7a40f568b18603b21f9888b90344a446ab50f8bd76bdaafbebd984.elf,bot.arm,bot.arm.elf,Malicious
111,4ae3cade71f68d3c432efe498b22392e48b5c106a391a03fca146a1db50b259c,SHA256,0/76,a4bfa63bea001b5de078dcc4d3c7dea9,a6985e41b79dbf701a4e510708d45d03ce8d7dbe,4ae3cade71f68d3c432efe498b22392e48b5c106a391a03fca146a1db50b259c,Office Open XML Document,Microsoft Word 2007+,17/12/2014 23:42,N/A,N/A,21/04/2017 17:27,28/11/2024 6:31,28/11/2024 6:31,4ae3cade71f68d3c432efe498b22392e48b5c106a391a03fca146a1db50b259c.ole,SampleIndependentContractorAgreementFinal-Fall2014.docx,,Benign
112,4b06ebb175e2386bd48f5d81eae33d6f87f9918f,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
113,4b39d074423c776d2771cc42f1d7db5e,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
114,4b8461a65a8264c27e4bdf9ac2f1c72f,MD5,15/78,4b8461a65a8264c27e4bdf9ac2f1c72f,138459f6de848fd99c5d58f894926522bead9721,4acce8f4b0b88b98839c151ab31b7dbd861fef998b1751f883df7a4e2310bc1b,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",28/11/2018 13:04,N/A,N/A,03/12/2018 12:17,17/06/2024 18:16,17/06/2024 18:16,4acce8f4b0b88b98839c151ab31b7dbd861fef998b1751f883df7a4e2310bc1b.exe,virussign.com_4b8461a65a8264c27e4bdf9ac2f1c72f.vir,owPrepagoFranquiciados,Malicious
115,4bb99fb2ea711355c235abfa07c8a5eb6e3fd5a8,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
116,4c3a07a1e08d0e644a629de2c0d73c6d,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
117,4c4099627aa2ba7f5d889a7e85265f23,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
118,4c40dcc90b4d29cbad1cb60dd8bb3e21e4f419fc,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
119,4c5a4bfbd6de5221c044b95c96fabc094fd854508471f9d7cb3890853ea318c3,SHA256,0/75,d446620e556df073692dbc36c3321ead,4857dcd538e325c6fae7540290ebe893cac25386,4c5a4bfbd6de5221c044b95c96fabc094fd854508471f9d7cb3890853ea318c3,Win32 EXE,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows",N/A,N/A,N/A,10/03/2017 10:53,27/11/2024 6:24,27/11/2024 6:24,4c5a4bfbd6de5221c044b95c96fabc094fd854508471f9d7cb3890853ea318c3.exe,invproj.exe,proj.exe,Benign
120,4c8778b3a88a1284e9908739892eb7b9,MD5,59/76,4c8778b3a88a1284e9908739892eb7b9,48fd07c1771e17b58a480e6151c2b9c49c8255b0,a94816a9f3ed0e46a3384ae19169d62e4b60a4afe67fb87f0054a38f10669be8,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",16/06/2024 16:34,N/A,N/A,17/06/2024 1:59,18/06/2024 18:11,31/01/2025 18:01,a94816a9f3ed0e46a3384ae19169d62e4b60a4afe67fb87f0054a38f10669be8.exe,3116587483.exe,null,Malicious
121,4ccf2acb05c24e61503cd8bff61f2d50,MD5,65/76,4ccf2acb05c24e61503cd8bff61f2d50,4c3d1fe63401c304fc838f9c5dd2e21e48591a7d,55a1086f0cdfbcfea457383682f1802df855441bf77e6d075e9acd79272756de,Win32 EXE,"PE32+ executable (GUI) x86-64, for MS Windows",14/04/2010 22:06,N/A,12/06/2024 23:16,12/06/2024 21:15,16/06/2024 11:20,26/01/2025 4:43,55a1086f0cdfbcfea457383682f1802df855441bf77e6d075e9acd79272756de.exe,55a1086f0cdfbcfea457383682f1802df855441bf77e6d075e9acd79272756de.bin,payload.exe,Malicious
122,4d0bd356ea616ffa0687437edd9771da,MD5,45/76,4d0bd356ea616ffa0687437edd9771da,30875ab155cde70844208e3af1cc6db16458e4b4,dcee09f8a5fe56552dd43d2400990ab65fde4821b78c87748417f8d5b904889f,RAR,"RAR archive data, v4, os: Win32",N/A,N/A,N/A,17/06/2024 6:31,18/06/2024 19:17,01/02/2025 5:03,dcee09f8a5fe56552dd43d2400990ab65fde4821b78c87748417f8d5b904889f.tar,dcee09f8a5fe56552dd43d2400990ab65fde4821b78c87748417f8d5b904889f,null,Malicious
123,4d130b62167807116bf4641b25fc8e42,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
124,4d42711b63f90ff9af3d6c8e4edb3ff08cab6fe5131d9a43f4d10d1ca51f7378,SHA256,0/76,7e76eed28b8b8696b7f7ed5f757aa304,ad4e61e69915dd94afc9d334b1c98e5fb4ee2aa7,4d42711b63f90ff9af3d6c8e4edb3ff08cab6fe5131d9a43f4d10d1ca51f7378,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",26/02/2012 14:42,N/A,27/04/2011 12:54,26/02/2012 17:30,04/03/2025 15:04,29/01/2025 7:59,filezillaserver.exe,filezilla server.exe,FileZilla server.exe,Benign
125,4d529e7cc06f19ed19805ac21bda53b09d1a0bee,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
126,4d71cb039c52b1d5e76bbd71cdc0ec293aa97c75,SHA1,Jan-76,69d57ad449c855745b412c5182ac7372,4d71cb039c52b1d5e76bbd71cdc0ec293aa97c75,81bcbdc28b2b73e9ae2b33518f114c7f39295adbaa0dc8aaab193d8a72ad1ea1,ZIP,"Zip archive data, at least v1.0 to extract, compression method=store",N/A,N/A,N/A,25/03/2015 16:57,03/11/2024 9:25,03/11/2024 9:25,ExploitKit.BleedingLife.2.zip,VirusShare_69d57ad449c855745b412c5182ac7372,aa,Malicious
127,4d94b714b84240380b4a9f37c7e53543,MD5,56/76,4d94b714b84240380b4a9f37c7e53543,884a0ed4a4e734e7af44656db59f3161a748b131,30af33cc275298269f2f8bb65529f0861090d49984d2200fa21812bdd558174a,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",15/06/2024 14:24,N/A,N/A,16/06/2024 4:34,18/06/2024 19:17,12/02/2025 5:02,30af3.exe,30af33cc275298269f2f8bb65529f0861090d49984d2200fa21812bdd558174a.exe,Project1.bin,Malicious
128,4d9c8986794f31912c44836959dd291fb22d21f12e0103a535cff6e7325a59e7,SHA256,0/77,c94ab4feff93a02d7c48fe845b9e648d,b0d11bb6c70c5f1a1cbf841f51ba2f75a2711498,4d9c8986794f31912c44836959dd291fb22d21f12e0103a535cff6e7325a59e7,Win32 EXE,"PE32 executable (console) Intel 80386, for MS Windows",28/09/2016 8:08,N/A,28/09/2016 1:08,22/10/2016 1:56,16/10/2024 7:51,16/10/2024 7:51,4d9c8986794f31912c44836959dd291fb22d21f12e0103a535cff6e7325a59e7.exe,F.openssl.exe,openssl.exe,Benign
129,4dde54cfc600dbd9a610645d197a632e064115ffaa3a1b595c3a23036e501678,SHA256,0/76,e24133dd836d99182a6227dcf6613d08,72c2dbbb1fe642073002b30987fcd68921a6b140,4dde54cfc600dbd9a610645d197a632e064115ffaa3a1b595c3a23036e501678,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",09/03/2010 16:53,N/A,25/09/2009 6:46,24/08/2010 9:14,25/02/2025 15:05,10/03/2025 10:32,POWERPNT.EXE,POWERPNT,eqsEA6C.tmp,Benign
